source_id,target_id,relationship_type,weight,interaction_freq,src_revenue,src_debt_ratio,src_liquidity,src_legal_cases,src_credit_score,src_bankrupt,tgt_revenue,tgt_debt_ratio,tgt_liquidity,tgt_legal_cases,tgt_credit_score,tgt_bankrupt
E00838,E01235,parent_company,0.79,49,5295398,0.33,1.73,3,610,0,3583423,0.19,1.12,3,708,0
E01339,E01235,co-investor,0.27,41,4939711,0.53,1.71,0,678,0,3583423,0.19,1.12,3,708,0
E00225,E01235,shared_director,0.16,44,1636359,1.0,0.72,0,667,0,3583423,0.19,1.12,3,708,0
E00871,E01235,supplier,0.79,18,5657304,0.73,1.47,2,523,0,3583423,0.19,1.12,3,708,0
E00838,E01625,parent_company,0.6,50,5295398,0.33,1.73,3,610,0,2311771,0.99,1.32,1,542,1
E02682,E01625,parent_company,0.51,26,5549483,0.19,0.98,4,817,0,2311771,0.99,1.32,1,542,1
E00445,E01625,co-investor,0.64,23,1876386,0.61,0.55,1,633,0,2311771,0.99,1.32,1,542,1
E01341,E01625,shared_director,0.3,5,1950957,0.49,0.69,0,691,0,2311771,0.99,1.32,1,542,1
E00838,E00271,parent_company,0.93,29,5295398,0.33,1.73,3,610,0,6768201,0.32,1.53,2,756,0
E02062,E00271,parent_company,0.12,20,5983084,0.78,0.65,1,686,0,6768201,0.32,1.53,2,756,0
E01977,E00271,parent_company,0.52,11,4630830,0.79,0.95,3,835,0,6768201,0.32,1.53,2,756,0
E01573,E00271,co-investor,0.29,45,5007606,0.81,1.9,2,805,0,6768201,0.32,1.53,2,756,0
E01559,E00271,supplier,0.82,14,2403746,0.96,1.54,0,512,0,6768201,0.32,1.53,2,756,0
E00838,E00968,supplier,0.48,30,5295398,0.33,1.73,3,610,0,3215088,0.82,1.68,4,707,0
E00321,E00968,shared_director,0.5,44,4627255,0.56,1.61,1,787,0,3215088,0.82,1.68,4,707,0
E00838,E00646,shared_director,0.26,49,5295398,0.33,1.73,3,610,0,6126690,0.71,1.6,0,655,0
E01922,E00646,shared_director,0.97,10,5849932,0.28,1.48,1,646,0,6126690,0.71,1.6,0,655,0
E00371,E00646,co-investor,0.84,45,5749955,0.4,0.75,3,518,0,6126690,0.71,1.6,0,655,0
E01019,E00646,shared_director,0.18,40,3705518,0.93,1.53,5,727,0,6126690,0.71,1.6,0,655,0
E01598,E00646,co-investor,0.81,41,6144185,0.48,1.28,0,565,0,6126690,0.71,1.6,0,655,0
E00838,E00166,parent_company,0.53,25,5295398,0.33,1.73,3,610,0,3682462,0.27,1.59,2,817,0
E01190,E00166,supplier,0.32,36,194492,0.92,1.94,2,700,0,3682462,0.27,1.59,2,817,0
E02472,E00166,parent_company,0.85,21,7329229,0.37,1.75,3,800,0,3682462,0.27,1.59,2,817,0
E00381,E00166,co-investor,0.98,44,4446202,0.31,1.78,1,559,0,3682462,0.27,1.59,2,817,0
E02436,E00166,supplier,0.93,21,7287673,0.73,1.9,5,659,0,3682462,0.27,1.59,2,817,0
E00838,E01168,shared_director,0.34,14,5295398,0.33,1.73,3,610,0,5072126,0.27,1.61,3,675,0
E00838,E01080,shared_director,0.17,34,5295398,0.33,1.73,3,610,0,5447910,0.84,0.5,2,587,1
E01491,E01080,shared_director,0.43,16,4258818,0.14,1.74,3,559,0,5447910,0.84,0.5,2,587,1
E01955,E01080,shared_director,0.96,26,4735825,0.54,0.95,1,783,0,5447910,0.84,0.5,2,587,1
E00472,E01080,parent_company,0.7,28,2508467,0.53,0.89,1,645,0,5447910,0.84,0.5,2,587,1
E01830,E01080,supplier,0.44,8,4015107,0.59,0.86,2,708,0,5447910,0.84,0.5,2,587,1
E01047,E01186,co-investor,0.21,32,7376291,0.52,0.76,1,797,1,6565740,0.74,1.99,3,535,0
E00034,E01186,supplier,0.62,19,5884233,0.77,1.22,1,628,0,6565740,0.74,1.99,3,535,0
E01783,E01186,supplier,0.39,46,8027195,0.69,1.37,3,613,0,6565740,0.74,1.99,3,535,0
E02338,E01186,parent_company,0.88,50,6632013,0.94,1.83,4,564,1,6565740,0.74,1.99,3,535,0
E01047,E00368,parent_company,0.38,27,7376291,0.52,0.76,1,797,1,5982809,0.66,1.59,1,848,0
E00541,E00368,co-investor,0.74,28,7093840,0.64,0.55,2,689,0,5982809,0.66,1.59,1,848,0
E01047,E00949,shared_director,0.51,18,7376291,0.52,0.76,1,797,1,4262339,0.3,1.08,1,519,0
E02002,E00949,supplier,0.36,6,8026018,0.97,1.15,0,832,1,4262339,0.3,1.08,1,519,0
E01047,E02823,co-investor,0.26,27,7376291,0.52,0.76,1,797,1,7282928,0.99,0.53,1,668,0
E00422,E02823,co-investor,0.62,48,7634556,0.25,0.68,1,692,0,7282928,0.99,0.53,1,668,0
E00132,E02823,shared_director,0.12,13,4163713,0.95,1.29,1,523,0,7282928,0.99,0.53,1,668,0
E01047,E00729,shared_director,0.7,39,7376291,0.52,0.76,1,797,1,100000,0.53,0.77,2,516,0
E00804,E00729,co-investor,0.7,39,7597622,0.52,0.8,1,672,0,100000,0.53,0.77,2,516,0
E02372,E00729,parent_company,0.11,12,6718627,0.58,1.12,3,747,0,100000,0.53,0.77,2,516,0
