enterprise_id,revenue,debt_ratio,liquidity,legal_cases,credit_score,bankrupt
E00001,6931844,0.82,0.96,3,644,1
E00002,5164109,0.76,1.5,2,814,1
E00003,4025209,0.65,1.5,2,764,0
E00004,5807641,0.54,0.93,2,722,0
E00005,2817219,0.22,1.19,2,800,0
E00006,3365997,0.34,0.79,4,835,0
E00007,8019542,0.48,0.82,1,736,0
E00008,5804068,0.64,0.53,1,512,0
E00009,4304946,0.56,1.85,0,838,0
E00010,6658277,0.36,0.82,6,767,0
E00011,7573949,0.11,0.84,0,765,0
E00012,4110724,0.55,0.92,3,515,0
E00013,4145184,0.36,0.69,1,591,0
E00014,3894708,0.76,1.46,1,747,0
E00015,6927700,0.12,0.61,0,518,0
E00016,6947114,0.63,0.7,1,602,0
E00017,7771806,0.95,1.47,1,594,0
E00018,7017205,0.26,1.01,1,782,0
E00019,1735563,0.52,1.56,2,712,0
E00020,5561928,0.18,1.34,3,536,0
E00021,2883229,0.66,0.88,0,560,0
E00022,3974171,0.6,1.48,2,790,0
E00023,5341188,0.47,0.67,2,802,0
E00024,6671130,0.57,1.3,2,743,0
E00025,3218313,0.91,1.16,1,810,0
E00026,350560,0.28,0.9,1,843,0
E00027,5361061,0.12,1.41,0,505,1
E00028,10287143,0.88,1.81,3,805,0
E00029,4594307,0.62,2.0,1,664,0
E00030,5093830,0.9,1.41,1,512,0
E00031,8564327,0.64,1.11,4,524,0
E00032,6180549,0.83,0.84,2,723,0
E00033,5433722,0.49,0.89,6,622,0
E00034,5884233,0.77,1.22,1,628,0
E00035,5500487,0.92,1.05,1,804,0
E00036,2720491,0.61,1.87,2,621,0
E00037,2317109,0.26,1.05,2,534,0
E00038,8773656,0.34,1.06,1,582,1
E00039,5367766,0.28,1.08,2,808,0
E00040,5200190,0.32,1.75,3,681,0
E00041,4819544,0.38,1.48,2,575,0
E00042,6562146,0.6,1.42,0,603,0
E00043,10077382,0.63,1.0,1,731,0
E00044,6047905,0.48,1.73,1,802,0
E00045,3823826,0.65,0.56,1,542,0
E00046,4733198,0.17,1.81,0,592,0
E00047,7141992,0.18,1.27,1,643,0
E00048,3834398,0.25,1.1,2,753,0
E00049,6704492,0.57,1.25,1,577,0
E00050,358525,0.29,1.5,1,762,0
E00051,4540240,0.35,0.52,1,569,0
E00052,6256280,0.46,1.81,2,648,0
E00053,7540251,0.83,1.17,0,791,0
E00054,3363051,0.11,1.01,0,713,0
E00055,1994469,0.68,0.71,0,809,0
E00056,4478529,0.7,1.16,2,646,0
E00057,2749161,0.82,1.24,1,524,0
E00058,4701926,0.94,1.11,2,822,1
E00059,4986693,0.12,1.52,0,608,0
E00060,2361709,0.24,1.13,1,680,0
E00061,6608878,0.9,1.94,2,750,1
E00062,4685572,0.51,1.4,3,702,0
E00063,7160919,0.61,1.71,3,803,0
E00064,1310189,0.7,0.66,2,669,0
E00065,2965615,0.71,1.1,0,674,0
E00066,6033338,0.94,1.01,1,846,0
E00067,3401778,1.0,1.35,3,669,0
E00068,4670928,0.75,1.79,2,501,0
E00069,5001398,0.36,0.62,0,633,0
E00070,5316511,0.89,0.61,2,626,0
E00071,3644867,0.14,1.78,4,545,0
E00072,5298573,0.31,0.82,3,693,0
E00073,3434912,0.91,1.5,1,708,1
E00074,6348560,0.33,1.31,3,795,0
E00075,4770311,0.3,1.75,0,557,0
E00076,5310073,0.22,0.69,3,577,0
E00077,10139853,0.87,0.69,1,701,0
E00078,2785791,0.55,1.34,1,788,0
E00079,7777164,0.71,1.92,4,561,0
E00080,100000,0.32,1.12,2,767,0
E00081,843246,0.78,0.99,5,625,1
E00082,2518719,0.78,1.41,3,548,1
E00083,2644943,0.38,1.9,2,587,0
E00084,5407403,0.47,1.76,0,833,0
E00085,5579684,0.29,1.99,2,760,0
E00086,4490357,0.98,0.53,2,678,0
E00087,4700244,0.68,0.67,1,568,0
E00088,6055529,0.94,1.41,3,559,1
E00089,6666447,0.37,1.73,1,801,0
E00090,2346921,0.8,0.93,0,748,1
E00091,4276218,0.79,0.86,3,668,1
E00092,4860820,0.72,1.68,4,768,0
E00093,5970631,0.97,0.58,1,611,1
E00094,3454665,0.45,1.05,1,599,0
E00095,4821557,0.22,1.26,3,714,0
E00096,5059967,0.7,1.34,0,612,1
E00097,3591059,0.76,1.59,1,596,0
E00098,3543369,0.62,1.03,5,806,0
E00099,5197491,0.29,1.42,0,617,0
E00100,4739309,0.55,1.38,2,535,0
E00101,6000955,0.38,1.32,0,836,0
E00102,2893482,0.48,1.46,1,789,0
E00103,4298636,0.68,0.89,4,803,0
E00104,4541567,0.77,0.63,4,846,0
E00105,6627727,0.31,0.68,0,623,0
E00106,3119172,0.46,0.84,7,539,1
E00107,5469304,0.34,1.25,2,640,0
E00108,5505511,0.28,1.76,2,525,0
E00109,8292794,0.81,1.55,1,641,1
E00110,2985821,0.92,1.68,3,835,0
E00111,3685533,0.43,1.03,0,556,0
E00112,3125288,0.78,1.11,1,649,1
E00113,1660441,0.91,1.09,0,704,0
E00114,8529373,0.86,0.79,1,575,0
E00115,2516997,0.26,0.59,0,784,0
E00116,3367389,0.96,1.39,0,709,0
E00117,7631533,0.44,1.98,0,757,0
E00118,1493785,0.41,0.75,3,758,0
E00119,6512703,0.16,0.57,1,683,0
E00120,2173951,0.54,1.67,2,827,0
E00121,7493389,0.2,0.88,1,510,0
E00122,660244,0.32,1.74,1,659,0
E00123,1493061,0.39,1.56,1,759,0
E00124,3910155,0.83,1.92,1,587,0
E00125,6943645,0.89,1.11,1,683,0
E00126,4938083,0.37,1.49,5,515,0
E00127,4328569,0.87,1.2,0,743,0
E00128,7692088,0.87,1.45,1,585,1
E00129,9310479,0.79,1.17,1,698,0
E00130,6344514,0.23,0.78,2,509,0
E00131,3754290,0.72,1.26,1,663,0
E00132,4163713,0.95,1.29,1,523,0
E00133,2423105,0.71,1.72,3,563,1
E00134,5201634,0.4,1.6,1,811,0
E00135,1740814,0.55,1.5,0,737,0
E00136,6103727,0.68,0.67,1,844,0
