source_id,target_id,relationship_type,weight,interaction_freq
E00838,E01235,parent_company,0.79,49
E01047,E01186,co-investor,0.21,32
E01764,E00720,parent_company,0.44,46
E00943,E02050,co-investor,0.16,48
E00174,E01787,supplier,0.51,5
E01283,E02359,shared_director,0.62,46
E02623,E01711,co-investor,0.2,2
E01331,E00704,shared_director,0.85,24
E00361,E01789,supplier,0.32,38
E01641,E02147,supplier,0.46,20
E01391,E00908,co-investor,0.8,5
E02091,E02594,supplier,0.58,13
E01432,E01439,parent_company,0.31,10
E01049,E00809,parent_company,0.64,49
E02685,E00309,parent_company,0.96,41
E02024,E01901,shared_director,0.71,37
E02634,E02603,co-investor,0.88,41
E01295,E00619,shared_director,0.16,29
E02587,E01241,co-investor,0.63,23
E02079,E00304,co-investor,0.52,3
E00234,E01511,co-investor,0.17,6
E02520,E02434,shared_director,0.52,36
E00169,E01843,parent_company,0.39,31
E02054,E00618,supplier,0.51,22
E02926,E00346,parent_company,0.14,46
E01794,E01800,parent_company,0.43,19
E01587,E01675,co-investor,0.71,4
E02585,E02652,co-investor,0.16,7
E02286,E02779,shared_director,0.36,47
E02690,E02469,parent_company,0.4,38
E02719,E00580,co-investor,0.38,42
E02861,E02713,shared_director,0.22,46
E00348,E01269,shared_director,0.68,22
E00524,E02745,supplier,0.68,28
E02083,E01483,supplier,0.43,12
E00878,E01400,shared_director,0.27,9
E00635,E00317,co-investor,0.86,7
E02080,E02211,supplier,0.7,50
E02532,E00537,shared_director,0.24,12
E02838,E02559,parent_company,0.75,3
E01683,E01493,parent_company,0.97,40
E01168,E01839,parent_company,0.58,20
E01922,E00795,co-investor,0.71,37
E01805,E01892,co-investor,0.8,33
E02161,E01715,parent_company,0.84,39
E00567,E01025,supplier,0.68,24
E02272,E00421,supplier,0.36,49
E00657,E01118,shared_director,0.91,10
E01792,E00376,parent_company,0.84,23
E00110,E01700,supplier,0.46,24
E00966,E01582,supplier,0.44,2
E01306,E00406,co-investor,0.81,9
E00157,E01176,shared_director,0.73,9
E02890,E01922,shared_director,0.65,6
E00078,E01049,parent_company,0.85,36
E02494,E02162,shared_director,0.2,19
E00974,E01234,supplier,0.14,27
E02618,E02552,shared_director,0.16,32
E02445,E02196,supplier,0.67,37
E00991,E00589,co-investor,0.49,40
E01446,E00986,shared_director,0.27,43
E00351,E02145,co-investor,0.16,34
E02229,E02079,supplier,0.45,31
E00179,E02604,shared_director,0.98,17
E00067,E01463,supplier,0.41,47
E02692,E02574,supplier,0.79,48
E01362,E00547,supplier,0.42,22
E02633,E00718,shared_director,0.98,31
E02588,E00747,parent_company,0.16,50
E01875,E00152,co-investor,0.28,13
E00172,E01293,co-investor,0.56,35
E01940,E01038,supplier,0.78,13
E01172,E01463,supplier,0.88,22
E01120,E00510,co-investor,0.49,26
E01802,E01584,co-investor,0.98,32
E02835,E02038,co-investor,0.93,34
E01093,E00339,shared_director,0.17,39
E00740,E02235,co-investor,0.39,6
E01344,E02708,co-investor,0.38,39
E01746,E00683,shared_director,0.42,3
E01445,E02519,shared_director,0.35,4
E00308,E02750,shared_director,0.43,48
E02783,E00656,supplier,0.23,39
E02778,E01795,supplier,0.21,16
E02643,E01501,co-investor,0.44,37
E00133,E02479,parent_company,0.71,24
E01524,E01819,supplier,0.62,34
E01504,E01631,co-investor,0.68,16
E00465,E00107,parent_company,0.55,25
E02301,E00483,co-investor,0.8,46
E01828,E00879,co-investor,0.72,32
E00820,E00503,parent_company,0.87,29
E00708,E02922,shared_director,1.0,44
E01310,E02736,co-investor,0.74,36
E02221,E01190,co-investor,0.87,46
E02907,E02869,parent_company,0.81,33
E00919,E00498,parent_company,0.81,16
E02024,E00108,co-investor,0.6,24
E01915,E02260,parent_company,0.65,6
E00270,E01267,shared_director,1.0,47
E01961,E02154,shared_director,0.79,37
E00303,E00514,co-investor,0.68,29
E01909,E02786,co-investor,0.22,50
E02259,E02621,parent_company,0.79,9
E01773,E02060,supplier,0.85,34
E00627,E01246,parent_company,0.25,46
E00924,E01418,co-investor,0.86,17
E00805,E02602,co-investor,0.21,20
E02517,E02186,supplier,0.55,11
E02425,E02379,parent_company,0.25,40
E02479,E01383,supplier,0.84,2
E00333,E00187,co-investor,0.69,50
E02344,E01707,supplier,0.55,41
E02235,E01187,co-investor,0.53,44
E01664,E01219,shared_director,0.17,4
E00648,E01801,shared_director,0.54,14
E01394,E02485,parent_company,0.38,46
E01308,E01415,shared_director,0.22,24
E02110,E02301,supplier,0.39,30
E00502,E01096,shared_director,0.32,7
E00208,E01189,shared_director,0.88,27
E01017,E00655,co-investor,0.94,47
E01281,E00778,parent_company,0.55,33
E01913,E02043,co-investor,0.55,6
E01611,E02071,shared_director,0.97,14
E02390,E01446,supplier,0.15,32
E02448,E02680,shared_director,0.36,1
E00441,E01766,parent_company,0.89,47
E01499,E01652,co-investor,0.14,4
E02336,E02302,parent_company,0.43,19
E00302,E01583,shared_director,0.79,18
E02553,E02787,supplier,0.22,7
E01614,E01529,co-investor,0.6,24
E00591,E00816,shared_director,0.55,3
E00160,E00562,co-investor,0.82,34
E01872,E00611,parent_company,0.4,40
E01305,E00666,shared_director,0.99,48
E01226,E02432,co-investor,0.56,33
E02181,E02007,co-investor,0.53,2
E01509,E01357,supplier,0.98,38
E01261,E02819,supplier,0.64,17
E02686,E02370,parent_company,0.75,38
E01968,E00699,shared_director,0.23,44
E00993,E00130,supplier,0.27,29
E01285,E01716,parent_company,0.47,14
E01681,E02056,shared_director,0.89,48
E00256,E02891,parent_company,0.57,36
E01332,E02713,shared_director,0.57,21
E00710,E01883,co-investor,0.59,44
E02789,E02635,co-investor,0.65,13
E01010,E01143,co-investor,0.3,20
E01184,E02888,parent_company,0.72,32
E01299,E01966,co-investor,0.6,47
E01121,E01179,supplier,0.62,35
E01556,E01617,co-investor,0.96,10
E01190,E00173,co-investor,0.96,6
E01419,E01812,co-investor,0.77,14
E00828,E02207,co-investor,0.94,45
E01113,E00563,supplier,0.65,38
E00981,E00994,supplier,0.7,34
E00925,E02614,parent_company,0.15,27
E01353,E01935,supplier,0.71,9
E00022,E02255,parent_company,0.47,31
E01956,E02665,parent_company,0.78,19
E01316,E01170,supplier,0.92,6
E02672,E02352,parent_company,0.58,47
E00153,E00718,shared_director,0.89,12
E00149,E01627,shared_director,0.27,48
E01186,E00154,supplier,0.37,39
E00440,E01373,co-investor,0.51,42
E02226,E02148,shared_director,0.9,9
E02066,E01918,co-investor,0.27,8
E01355,E00666,shared_director,0.68,46
E00763,E00058,co-investor,0.81,37
E02763,E00792,parent_company,0.65,41
E01661,E01752,co-investor,0.18,43
E00391,E00757,parent_company,0.53,16
E00028,E01069,shared_director,0.31,49
E01094,E01351,co-investor,0.62,37
E00047,E01072,co-investor,0.72,4
E02736,E00485,shared_director,0.38,26
E02811,E02059,co-investor,0.72,41
E01209,E01506,parent_company,0.3,9
E01959,E00628,shared_director,0.77,39
E01531,E01704,shared_director,0.78,43
E00895,E01014,supplier,0.57,34
E02883,E01482,supplier,0.93,8
E00253,E02244,parent_company,0.62,10
E00674,E01344,shared_director,0.2,14
E02389,E02003,supplier,0.91,29
E00228,E01858,parent_company,0.56,30
E02310,E00237,shared_director,0.71,20
E00090,E01622,co-investor,0.83,48
E00893,E02369,supplier,0.14,23
E02869,E00262,supplier,0.94,5
